,,sex,age,number of follower,number of post,댓글수,like_average,youtube,타 플랫폼 여부,adposting/2021posting,number_posting_month,number_ad_posing_month,ad_posting_length,ad_posting_tag_number,동일 광고 여부,광고 게시글의 # of likes / # of followers,광고 게시글의 # of cmmnts / # of followers,비광고 게시글의 # of likes / # of followers,비광고 게시글의 # of cmmnts / # of followers,논란 여부,Comment Repeat Proportion,Re_cmt_post,Re_cmt_num,cluster
0,yeaseullee,여자,30대,50200,2078,6.8,686.9220779,0,0,0.623376623,21,13,325.9230769,6.85,1,0.011985975,0.000101594,0.012327308,8.06E-05,0,4.51226158,0.414285714,0.07712766,1
1,daaanniizzz,여자,20대,4652,132,12.4,711,0,0,0.411764706,4,6,235,15,1,0.13358396,0.000859291,0.220483101,0.001828491,0,1.857142857,0.571428571,0.069444444,3
2,marong_beauty,여자,20대,8509,279,11.333,180.025,1,0,0.075,12,0,475,0,0,0.024199384,0.000689969,0.020143715,0.000443151,0,2.912,0.457142857,0.100864553,1
3,y__silri ,여자,20대,8509,279,105.3333333,624.8461538,0,1,0.423076923,16,9,275.888889,8.222222,1,0.079698591,0.001239489,0.089571573,0.00121633,0,6.847250509,0.4,0.033452808,4
4,064_steady ,남자,30대,8588,432,27.66666667,610.9285714,1,1,0.071428571,32,3,67.33333333,1,1,0.05879608,0.005482968,0.058912739,0.003383108,0,7.858197932,0,0,4
5,happy.lmh ,남자,30대,9988,473,94.16666667,616.1,0,1,0.071428571,12,3,318,10.5,0,0.052157106,0.000917017,0.058870141,0.000938179,0,8.553719008,0,0,4
6,vincis_love,여자,20대,9400,138,124,1732,0,0,0.2,16,2,373,13,0,0.174365751,0.00108351,0.207804362,0.001113804,0,4.681672026,0.028571429,0.002873563,3
7,love__hara,여자,30대,6107,174,9,81.5625,0,0,0.125,4,1,252,15,0,0.010796663,0.000204482,0.015827835,0.00067979,0,2.166666667,0.385714286,0.085798817,4
8,woohae,남자,30대,7503,1457,6,303.1212121,0,0,0.01010101,34,0,0,0,0,0.046628693,0.000861041,0.040264772,0.000307271,0,9.757575758,0.114285714,0.047058824,4
9,eunkyung302,여자,30대,10297,1272,0.8,185.7125,0,0,0.65,23,14,309.75,15.642857,0,0.014108893,2.43E-05,0.020804557,0.0002226,0,6.75,0.014285714,0.012820513,4
10,eunji_2001,여자,20대,8366,297,11.83333333,556.25,0,0,0.0625,8,0,0,0,0,0.083974513,0.001202212,0.074342748,0.001105012,0,2.181818182,0.015625,0.001666667,4
11,s__.ugoi,여자,20대,7299,122,54.16666667,496,0,0,0.5,1,1,104,13,0,0.107755494,0.001646768,0.101831703,0.001489933,0,0,0,0,3
12,kim_yu00,여자,20대,6713,142,33.25,1902.5,0,0,0.153846154,1,0,0,0,0,0.207519021,0.001193495,0.309988224,0.001691843,0,1.238938053,0,0,3
13,sun_ho0,남자,20대,6177,246,29.33333333,360.375,0,1,0.375,3,0,0,0,1,0.086754286,0.001865974,0.098279681,0.001558438,0,1.25,0.071428571,0.006775068,4
14,seonhee_angela,여자,20대,7782,1537,2,122.5,0,1,0.42,12,6,362.1666667,29.5,0,0.019559087,7.02E-05,0.01331026,0.000123949,0,9.333333333,0.042857143,0.046153846,4
15,jjn__sik,남자,20대,8541,145,15.83333333,448.2222222,0,1,0.055555556,5,1,159,1,0,0.029962547,0.00093633,0.052795334,0.001333782,0,1.96875,0.157142857,0.013398295,4
16,y_eh_410,여자,20대,2315,192,8.857142857,254.5,1,0,0.3,54,17,163.2352941,6.294117647,0,0.139872068,0.002558635,0.005117271,0.000142146,0,9.361702128,0,0,4
17,s._.om_,여자,20대,2152,279,6,127.05,0,1,0.233333333,60,14,190.2142857,11.71428571,0,0.102623102,0.001381215,0.062011045,0.000339823,0,6.594202899,0,0,4
18,lotus_onthewater,여자,20대,2017,338,18.16666667,202.8333333,0,1,0.183333333,44,9,253,10.11111111,0,0.082351015,0.00354726,0.058190079,0.002357564,0,11.73258004,0,0,4
19,waiji_poo,남자,20대,2301,97,61.33333333,431.4285714,0,0,0.714285714,1,1,137,5,1,0.207152202,0.005189708,0.224551484,0.00505286,0,2.333333333,0,0,3
20,taek2____ ,남자,20대,1996,158,38.16666667,428.244898,0,0,0.142857143,17,2,69.5,3,0,0.178450844,0.005759682,0.181513496,0.004795974,0,5.799607073,0,0,3
21,kimyannnnngh,남자,20대,8728,111,88.83333333,626.0869565,0,0,0.695652174,23,16,94.625,4.5,1,0.102024973,0.001263241,0.082254033,0.000714123,0,8,0,0,4
22,__sic__h,남자,20대,4328,241,267.1666667,676.1940299,0,0,0.164179104,23,9,106.1111111,4.666666667,0,0.161499898,0.002762431,0.151864641,0.002762431,0,9.29468599,0,0,3
23,2.y0y,여자,20대,2414,312,19.33333333,344.3958333,0,0,0.291666667,40,15,134.5333333,5.933333333,0,0.150226991,0.003439263,0.027831111,0.000484487,0,8.53974122,0,0,4
24,subak_style,남자,20대,5737,237,103,545.915493,0,0,0.366197183,19,10,73.5,2.7,1,0.104829743,0.002084781,0.022431139,0.000473814,0,7.905,0,0,4
25,j_botong,여자,20대,2844,138,81,371.2105263,0,1,0.578947368,21,16,119.8125,4.3125,1,0.112995033,0.003785743,0.044403976,0.001380985,0,8.730909091,0,0,4
26,boilylook_,남자,20대,2830,186,57.83333333,353.7560976,0,0,0.317073171,34,18,717.6666667,8.166666667,1,0.115062201,0.00391333,0.117787115,0.003594771,0,7.880923451,0,0,4
27,sozonii,여자,20대,39287,362,17,442.5416667,0,0,0.416666667,12,7,312.4285714,10.42857143,0,0.010231608,0.000267632,0.018214121,0.000262465,0,4.042780749,0.1,0.012096774,4
28,yxx_hosu,남자,20대,33363,560,17,1314.857143,1,0,0.268041237,27,18,132.2222222,3.055555556,0,0.041072175,0.000336867,0.008676099,5.76E-05,0,7.463235294,0.557142857,0.047101449,1
29,jenvly,여자,30대,50527,4180,15.5,479.2087542,1,0,0.404040404,126,77,397.3896104,11.38961039,1,0.010556709,0.00017619,0.009266955,0.000147321,0,6.317321689,0.714285714,0.073913043,2
30,ini_iii,여자,20대,48329,282,3.166666667,969.8571429,0,1,0.264150943,28,8,184.125,6.375,1,0.018075195,2.63E-05,0.014804635,2.17E-05,0,5.404411765,0.842857143,0.219330855,1
31,__seoyeonn,여자,30대,51023,1040,132.3333333,679.9316239,0,0,0.094017094,24,7,280.7142857,10.71428571,0,0.01252924,0.000229649,0.015235701,0.000218499,0,10.95830285,0.385714286,0.019708029,1
32,binnybaby_,여자,30대,11179,365,11.83333333,700.5576923,0,0,0.346153846,37,17,66.23529412,3.764705882,0,0.070761071,0.000711238,0.055614223,0.000402721,0,6.224783862,0.709677419,0.117096019,1
33,susuu___i,여자,20대,15270,148,10.8,275.031746,0,0,0.222222222,41,10,287.3,9,0,0.005821631,8.86E-05,0.018595911,0.000243525,0,6.253807107,0.557142857,0.197969543,1
34,vianx_0,남자,20대,21300,30,39.5,5417.833,1,1,0.458333333,14,9,61.11111111,5.111111111,0,0.277494524,0.000540071,0.221403704,0.000463507,0,3.526717557,0.035714286,0.003039514,3
35,lllllssscc,남자,20대,34455,436,14.5,1314.5,0,0,0.105691057,40,7,77.57142857,4.142857143,1,0.02369198,0.000319442,0.027755022,0.000224218,0,6.337209302,0.828571429,0.048013245,1
36,yeon_dubu,여자,20대,14444,50,70.16666667,950.2857143,0,0,0.75,25,23,320.173913,15.60869565,1,0.094606483,0.000629651,0.078968876,0.000499737,0,7.417417417,0.020833333,0.004761905,4
37,kissthexun,여자,20대,12359,505,7.166666667,494.46875,0,0,0.09375,19,1,62,4,1,0.040763715,0.000664626,0.03959469,0.00060152,0,5.9125,0.114285714,0.014545455,4
38,kkkangmk,여자,20대,38697,329,115.1428571,594.4375,0,1,0.78125,37,42,286.9285714,11.5952381,1,0.015939984,0.000254007,0.016581757,0.000249565,0,8.370940171,0.671428571,0.085626911,2
39,kitty_kim_,여자,20대,30689,516,41,1033.714286,0,1,0.24137931,20,7,212.5714286,11.14285714,1,0.024848539,0.000386795,0.010769491,0.000103278,0,4.981595092,0.105263158,0.008941878,4
40,dear.zia,여자,20 대,354000,1128,82.16666667,19000,1,0,0.08045977,25,4,142.25,3,1,0.03316895,5.56E-05,0.040867895,5.19E-05,0,5.697068404,0.028571429,0.002412545,4
41,dmdmrp,여자,20 대,310000,223,45.33333333,6477.833333,1,0,0,2,0,0,0,1,0.013838593,3.73E-05,0.00984254,2.84E-05,0,0,0,0,4
42,ssinnim,여자,30 대,268000,3801,32.375,2906.5,1,1,0.125,14,0,0,0,1,0.012348016,5.07E-05,0.015099912,5.64E-05,1,2.032258065,0.085714286,0.007594937,4
43,yoo.xx,여자,20 대,267000,512,54.66666667,12014.75,1,0,0.122222222,33,6,280.6666667,5,1,0.028199105,4.37E-05,0.052570931,4.05E-05,0,0.5,1,0.073375262,1
44,onnuk_,여자,20 대,274000,647,27.42857143,5576.833333,1,0,0.138211382,50,10,185.2,4.6,1,0.0212325,3.23E-05,0.020103485,3.55E-05,0,0.5,1,0.079365079,1
45,ehcl15,여자,20 대,306000,2673,34.33333333,4203.5,0,1,0.596330275,45,45,197.8222222,9.222222222,1,0.014240335,3.38E-05,0,0,0,5.58685446,0.728571429,0.064070352,2
46,o62oo,여자,20 대,202733,365,13.83333333,2929,0,0,0.176470588,17,4,207,9.5,0,0.020742806,4.84E-05,0.020814835,5.20E-05,0,4.029520295,0.1,0.009114583,4
47,dear.jerry,여자,20 대,78816,636,20.16666667,2827,0,0,0.066666667,18,4,372.25,6.75,1,0.023639987,0.000123753,0.036836494,0.000132003,0,5.467625899,0.157142857,0.014705882,4
48,yootrue5502,여자,30 대,114000,2587,58.83333333,15239.5,1,0,0.02020202,39,0,0,0,1,0.013979828,6.46E-05,0.052517951,9.42E-05,1,7.289719626,0,0,4
49,suesasha,여자,30 대,138000,882,53.36363636,17913.16667,1,0,0.162601626,38,10,171.5,3.9,1,0.046066604,6.61E-05,0.052397615,6.16E-05,0,7.94165316,0.057142857,0.006441224,4
50,shawn_issure,남자,30 대,99600,1226,78,4284,1,0,0.184615385,44,13,370.6923077,9.538461538,1,0.061020366,0.000116813,0.052548367,0.000111176,0,9.757575758,0.285714286,0.023809524,4
51,leojmakeup,남자,20 대,168000,1505,98.14285714,6870,0,0,0.068181818,32,4,255,3.75,1,0.031472099,7.16E-05,0.035597476,7.00E-05,0,6.119521912,0,0,4
52,aura_m_kr,남자,20 대,74200,332,24.5,980.8,1,1,0.210526316,14,3,244.3333333,6.333333333,1,0.010518779,0.00015398,0.012816165,0.000144741,0,6.98488121,0.142857143,0.012674271,4
53,bang.xx,남자,30 대,164000,429,133,5823.5,0,0,0.057142857,17,1,70,3,0,0.030301483,6.68E-05,0.032492018,6.81E-05,0,4.795389049,0.014285714,0.001272265,4
54,a_arum2_,여자,20 대,96100,130,154.1666667,2229.714286,0,0,0.875,2,1,341,22,0,0.017519335,8.12E-05,0.014862937,8.44E-05,0,0,0,0,4
55,happy_chul,남자,30 대,144000,542,87.57142857,4935,0,0,0.111111111,20,3,165.3333333,13.66666667,0,0.033520694,8.34E-05,0.040873057,7.96E-05,0,5.262180974,0.214285714,0.017857143,4
56,byul__xx,여자,30 대,128000,3460,29.16666667,1422.142857,0,0,0.511811024,50,34,413.2352941,12.11764706,1,0.009341073,8.16E-05,0.010186959,8.37E-05,0,7.232142857,0.871428571,0.077608142,2
57,baek_g_hyun,여자,20 대,38200,867,15.16666667,1693.333333,1,0,0.033898305,22,0,0,0,0,0.018501557,5.23E-05,0.027658563,0.000180458,0,5.833333333,0.028571429,0.003891051,4
58,tangerineshower,여자,20 대,43300,390,10.83333333,2732.285714,1,0,0.181818182,12,3,297.3333333,5.666666667,1,0.03208716,0.000148445,0.051781238,0.000198514,0,3.649122807,0.028571429,0.003603604,4
59,h___ryan,남자,20 대,59400,425,21.85714286,5542.5,1,0,0.158536585,41,8,258.875,5.375,0,0.028664582,0.000152151,0.058938904,0.0001702,0,8.4765625,0.685714286,0.060759494,1
60,delight_bombom,여자,20 대,22300,599,32.66666667,864.6666667,0,0,0.126315789,18,3,315.3333333,10.33333333,0,0.05114094,0.000525727,0.048209745,0.000494353,0,8.298325723,0.071428571,0.006393862,4
61,mjbypp,여자,20 대,52400,1969,12.16666667,1541.5,1,0,0.265486726,48,16,342.9375,4.25,1,0.040508438,0.000184399,0.03789132,0.000149768,0,11.76570458,0,0,4
62,jinaehan,여자,20 대,33700,3171,4.166666667,341.4545455,1,0,0.075757576,34,1,364,4,1,0.011254067,5.18E-05,0.008733774,9.79E-05,0,10.58447489,0,0,4
63,jasonlim.2020,남자,20 대,18000,286,46.5,636.78,0,1,0.08,17,1,513,13,1,0.036650764,0.000656459,0.03426317,0.000571526,0,4.439086294,0.357142857,0.030487805,4
64,yyemni,남자,30 대,42200,330,28.5,920.3333333,0,1,0.486486486,8,9,121.1111111,4.333333333,1,0.02242119,0.000269985,0.029199059,0.000273656,0,4.17704918,0.128571429,0.010804322,4
65,milkcat90,여자,30 대,11600,2361,2.333333333,119.8333333,1,0,0.294871795,18,11,277,7.454545455,1,0.009522586,0.000166562,0.009395016,0.000221059,0,8.780487805,0.557142857,0.155378486,1
66,hol_ddong,남자,20 대,26200,798,2.5,878.3333333,0,0,0.071428571,14,1,164,2,1,0.006915735,0.000229674,0.033098001,0.000199716,0,1.458333333,0.030769231,0.005076142,4
67,jeong.woo.joo,여자,30 대,438549,1501,58.66666667,3465.666667,1,0,0.215053763,34,15,147.4666667,9.266666667,1,0.007124158,2.73E-05,0.006844772,2.63E-05,0,9.364221364,0,0,4
68,hee1ove,여자,20 대,61517,237,6.428571429,368.7714286,1,1,0.542857143,32,18,203.7222222,9.777777778,1,0.012195082,0.000127185,0.003419612,1.92E-05,0,9.983606557,0.285714286,0.06514658,4
69,pinkjjelly,여자,20 대,164678,562,30.625,2188.625,1,0,0.66,44,30,380.2666667,12.73333333,1,0.011312634,5.76E-05,0.011955192,5.87E-05,0,7.952443857,0.814285714,0.138349515,2
70,cheristyle_,여자,20 대,210319,1045,50.45454545,5448.333333,1,0,0.126213592,45,8,107.5,2.625,1,0.029912127,5.23E-05,0.029596614,5.08E-05,0,10,0.628571429,0.054086538,1
71,sanggil_go,남자,20 대,285608,284,22.25,4935.3,1,0,0.076923077,8,1,123,8,1,0.037923827,4.20E-05,0.020749247,3.68E-05,0,3.402985075,0.133333333,0.012403101,4
72,9.1.0.7.3.0,여자,30대,74522,2468,27.125,570.2242991,0,0,0.53271028,109,87,277.7011494,8.333333333,1,0.009818276,0.000120773,0.010382814,0.000131752,0,8.241590214,0.3,0.031818182,2
73,freelife103,여자,30대,69223,1528,2.5,540.3826715,0,0,0.534296029,98,90,468.8777778,21.52222222,1,0.008023761,4.86E-05,0.000491854,6.33E-06,0,10.27777778,0.157142857,0.043650794,2
74,ahliswell,여자,30대,67625,2667,4.1,329.1894737,0,1,0.842105263,48,43,377.6744186,12.13953488,1,0.005275867,9.27E-05,0.002532348,7.02E-05,0,8.12345679,0.128571429,0.018108652,2
75,melheevv,여자,20대,17434,175,36.33333333,947.625,1,1,0.338028169,29,12,242.8333333,10.91666667,1,0.066224138,0.000458952,0.075045895,0.000555763,0,6.183235867,0.342857143,0.034482759,4
76,93mi_nii,여자,30대,32167,1290,8,797,0,1,0.81147541,53,47,351,13.89361702,1,0.023647664,0.000207493,0.019543839,0.000227977,0,10.25104603,0.285714286,0.041322314,2
77,z.yu.2,여자,20대,5428,114,103.8,1227.909091,0,0,1.1,11,21,110.4285714,6.333333333,0,0.245900884,0.000993526,0.205618135,0.000929922,0,4.842105263,0.057142857,0.008830022,3
78,minimal__yun,남자,20대,1400,61,18.28571429,241.075,0,0,0.175,18,6,295.5,22.66666667,0,0.203002144,0.007862759,0.143130186,0.003807067,0,6.37037037,0.15,0.020361991,4
79,simg2,여자,20대,6842,528,9.125,310.4242424,1,1,0.212121212,17,6,184.8333333,9.5,0,0.037154757,0.000602806,0.036038252,0.000666517,0,3.866666667,0.75,0.107398568,1
